Question,Answer
How many years of work experience do you have with Product Operations?,8
How many years of urn:li:industry:52 experience do you currently have?,2
How many years of work experience do you have with Retail Category Management?,6
How many years of work experience do you have with Subscriptions?,8
How many years of work experience do you have with ABAP?,7
How many years of work experience do you have with Business-to-Business (B2B)?,8
Have you completed the following level of education: Doctor of Philosophy?,No
How many years of work experience do you have with Third-Party Logistics (3PL)?,4
How many years of FIN experience do you currently have?,5
How many years of work experience do you have with Business Leadership?,4
Description,
How many years of PROD experience do you currently have?,2
How many years of work experience do you have with Jira?,8
"Are you willing to take a drug test, in accordance with local law/regulations?",Yes
How many years of work experience do you have with Microsoft Excel?,10
How many years of work experience do you have with Managed Security Services?,2
How many years of work experience do you have with Low-Code Development Platforms?,8
How many years of work experience do you have with Analytics?,10
How many years of urn:li:industry:6 experience do you currently have?,12
How many years of work experience do you have with Agile Software Development?,8
How many years of urn:li:industry:27 experience do you currently have?,10
How many years of urn:li:industry:23 experience do you currently have?,2
How many years of work experience do you have with Amazon Web Services (AWS)?,3
State / Province,
What is your level of proficiency in eng?,Native or bilingual
How many years of urn:li:industry:144 experience do you currently have?,2
How many years of work experience do you have with Data Security?,7
How many years of work experience do you have with Cross-functional Team Leadership?,8
How many years of work experience do you have with Algolia?,4
School,
How many years of work experience do you have with Merchandising?,4
What is your level of proficiency in chi?,None
Do you speak English?,Yes
How many years of work experience do you have with Software as a Service (SaaS)?,12
How many years of work experience do you have with New Product Rollout?,10
City,
How many years of work experience do you have with Business Strategy?,8
Are you legally authorized to work in PT?,No
How many years of work experience do you have with Business Support Systems (BSS)?,4
Are you comfortable working in a remote setting?,Yes
How many years of work experience do you have with Blockchain?,2
Do you speak Dutch?,No
Company,
How many years of work experience do you have with Management?,5
How many years of work experience do you have with Large Language Models (LLM)?,2
Country,
How many years of MGMT experience do you currently have?,5
How many years of work experience do you have with Machine Learning?,8
Degree,
How many years of work experience do you have with Technology Product Development?,10
Mobile phone number, +49 15150308708
How many years of work experience do you have with Generative AI Tools?,3
Your title,
How many years of urn:li:industry:31 experience do you currently have?,5
How many years of work experience do you have with SAP ERP?,3
How many years of work experience do you have with Python (Programming Language)?,4
Street address line 1,
How many years of PRDM experience do you currently have?,12
How many years of work experience do you have with Logistics Management?,4
How many years of work experience do you have with Internet of Things (IoT)?,7
How many years of work experience do you have with Crypto?,2
How many years of work experience do you have with Enterprise Accounts?,5
How many years of urn:li:industry:3131 experience do you currently have?,2
